arm,cost_mult,cost_pct,mdd_pct,n_days,net_2020,net_2021,net_2022,net_2023,net_2024,net_pct,panel,seed,sharpe,sharpe_2020,sharpe_2021,sharpe_2022,sharpe_2023,sharpe_2024,turnover
ONE-NAS (40 isl.),1.0,5.321184625887851,25.83278323093532,1249,1.9780110076245305,10.170032485367845,21.075710319721217,12.866938209565863,4.11170143324395,50.202393455523406,set1,42,0.7104276079661573,0.11246480808387378,0.8473134886982175,1.2877454688375682,1.1120990116280038,0.3376410828677914,0.11508754187126571
ONE-NAS (40 isl.),1.5,7.981776938831777,25.96652208489364,1249,,,,,,47.54180114257948,set1,42,0.6728198233764452,,,,,,0.11508754187126571
ONE-NAS (40 isl.),2.0,10.642369251775701,26.100260938851942,1249,,,,,,44.881208829635554,set1,42,0.6352064400407476,,,,,,0.11508754187126571
ONE-NAS (40 isl.),3.0,15.963553877663553,26.36773864676856,1249,,,,,,39.5600242037477,set1,42,0.5599634366489677,,,,,,0.11508754187126571
ONE-NAS (40 isl.),5.0,26.605923129439258,26.902694062601796,1249,,,,,,28.917654951971993,set1,42,0.40941640582291433,,,,,,0.11508754187126571
ONE-NAS (40 isl.),1.0,5.302947081403733,31.918832148229647,1249,-10.101114276824415,14.065847669042537,17.159487558548133,3.3505977042090316,3.558070738175043,28.032889393150327,set1,43,0.37476632060569465,-0.5803173367507581,1.0729436968543087,0.956356994035816,0.2580279183724607,0.2830669432993339,0.1161722160077731
ONE-NAS (40 isl.),1.5,7.954420622105601,32.20954897609038,1249,,,,,,25.381415852448463,set1,43,0.33932377667182884,,,,,,0.1161722160077731
ONE-NAS (40 isl.),2.0,10.605894162807466,32.50026580395114,1249,,,,,,22.729942311746598,set1,43,0.303879942176314,,,,,,0.1161722160077731
ONE-NAS (40 isl.),3.0,15.908841244211201,33.08169945967264,1249,,,,,,17.426995230342854,set1,43,0.23298889266890324,,,,,,0.1161722160077731
ONE-NAS (40 isl.),5.0,26.51473540701867,34.24456677111563,1249,,,,,,6.821101067535401,set1,43,0.09119671080477228,,,,,,0.1161722160077731
