islands,n_seeds,net,net_se,sharpe,sharpe_sd,worst_sharpe
10,10,34.472487944461975,2.5871327931805492,0.7467260982353754,0.1493233212636095,0.5084974042325685
20,10,41.358436362148176,1.8136224051897931,0.8380653481727076,0.10634536781118889,0.656840582359546
30,10,47.826420731532366,1.2006027409518443,0.9092529832053586,0.09925679939579077,0.7019417476226796
40,10,45.437247992561964,1.9290622843143848,0.8847628412159319,0.0797590455176352,0.7492502819576329
50,10,50.2203761694449,1.585706709817561,0.9629944767849821,0.10912795907960283,0.8111115859157236
60,10,49.61175383733784,1.359507307984921,0.9576388627099369,0.07914606422556783,0.8395505584975425
