arm,n_days,alpha_bps_day,alpha_ann_pct,nw_t,mkt_beta
onenas_40isl,1252,3.148643138278241,7.9345807084611675,2.1366022104943614,0.1196532719419994
onenas_8isl,1252,2.1744777388129806,5.479683901808711,1.7630743215319984,0.09559162104081054
online_lstm,1258,2.2352791507771848,5.632903459958506,1.7332404215073298,0.13078722110915103
online_gru,1258,1.5382546901671288,3.8764018192211647,1.4230416991297876,0.10631476055499753
periodic_lstm_monthly,1258,2.2698554376420206,5.720035702857891,1.8909389116456905,0.08264250605634045
online_ar,1258,-1.3491135286745735,-3.399766092259925,-1.0494629593934184,0.00720417324826488
ew_buy_hold,1258,-1.174028839556936,-2.958552675683479,-0.8319559612550885,0.9261258905094801
