islands,n,dIC,t_IC,dNet,t_net,dSharpe,t_sharpe,verdict
50,36,2.910988079012497e-05,0.05363565919483832,-0.1565628890765057,-0.125672742003644,-0.015350619048438494,-0.356629110007309,no adoption
60,40,-0.00010415256322396757,-0.22556272493072543,-0.46727064807714314,-0.44561730996051785,-0.02518605292698563,-0.664749783325618,no adoption
