islands,panel,seed,net_pct,sharpe,mdd_pct
10,set1,42,14.18701405235262,0.22314320732058465,33.25304789750898
10,set1,43,42.76841708679004,0.6506792030491989,19.72397318980582
10,set1,44,24.184315899559234,0.3718401640611917,26.831390821450444
10,set1,45,-5.0983840523155965,-0.07888297596262808,27.909442533815355
10,set1,46,19.343811027294706,0.2677104210320309,34.083793822740816
10,set1,47,40.85302646720523,0.6264289496656337,21.223266465764286
10,set1,48,21.62648395899148,0.3795544846183887,26.59362924114192
10,set1,49,32.147974120858834,0.4865668058041157,34.21168586300588
10,set1,50,19.01890549755244,0.2692336252952831,24.519077410626817
10,set1,51,38.66015112590567,0.6400935581447875,21.647099226294042
10,set2,42,47.05115185288709,0.8699468941674996,15.60182627732704
10,set2,43,74.91758000075096,1.0987544169847807,24.007930445649244
10,set2,44,64.28898473500395,1.1051702282634959,16.697120707724068
10,set2,45,58.41228537827814,0.987624545887275,11.955122100530291
10,set2,46,35.04670223934357,0.6180257366382433,13.521163108872896
10,set2,47,50.05781210978837,0.8867317042517331,23.15236686603945
10,set2,48,82.11370806902785,1.4031449871209525,11.897461554541495
10,set2,49,45.81780382341491,0.6842786659889795,30.292170872382822
10,set2,50,60.09064937220367,0.948097751827238,15.702032015681969
10,set2,51,63.67140288191051,0.9657304144203946,27.389803147820444
10,set3,42,26.3323875152348,0.4038436517316644,19.789138147224005
10,set3,43,16.079124846276528,0.23394437834546716,26.454464426877443
10,set3,44,38.220770027872916,0.5581643094677512,20.763652277124784
10,set3,45,0.5957609663381963,0.008657793328348458,21.665099086357106
10,set3,46,21.548464156632868,0.29144452282051964,26.74170731334902
10,set3,47,11.064266076510853,0.19155859829087848,21.332438227984788
10,set3,48,30.94309659085442,0.393305420070648,27.70915589776242
10,set3,49,7.169537165736012,0.10947875221501133,28.017035926007257
10,set3,50,28.784652537898918,0.38504255643125285,26.054219886270257
10,set3,51,27.286780457886916,0.37738360903617774,26.692169466974992
10,set4,42,-4.998303072909108,-0.07115720225363266,34.75743195748391
10,set4,43,24.97049116581837,0.3892044764625448,20.33684042231721
10,set4,44,2.1084885368461537,0.03363256916597637,23.492485539861015
10,set4,45,50.98154425613084,0.7641458597936609,24.446764376174947
10,set4,46,44.977503561367094,0.7180517219219376,22.804325602482827
10,set4,47,54.069581680540004,0.9261926181596409,17.944814452635924
10,set4,48,69.12502293073376,1.1297752116940085,19.020683998303266
10,set4,49,53.01829236412578,0.7553934444289442,21.90477746484978
10,set4,50,32.04176499557282,0.5490925422858474,17.88734239540209
10,set4,51,22.66374854027891,0.38785602938441593,17.47362996031319
20,set1,42,24.803385635057044,0.3178082946502447,43.563410187180885
20,set1,43,43.15356005914893,0.6691580850236647,35.28106340178782
20,set1,44,32.57970752030593,0.44159999108446546,37.59266778698156
20,set1,45,21.209750370120503,0.2809961826589514,43.903555894337465
20,set1,46,9.02688433894847,0.13271381622489192,31.683356061900835
