,2020,2021,2022,2023,2024,2020-24
onenas_40isl,4.823767442642021,12.539806924771405,6.69154974391706,14.147319262740904,7.234804618490578,45.43724799256197
onenas_8isl,0.938349442254191,9.885185306569978,4.291534237557467,10.43597863041083,6.425045297330269,31.976092914122745
online_lstm,12.16873300082202,9.767923990405581,2.4635026563334432,5.253302285200563,5.502044650179308,35.155506582940916
online_gru,6.213082814710932,6.707869736330406,2.495674702891545,4.360866051874539,5.465105805711944,25.242599111519365
periodic_lstm_monthly,7.614278546540679,8.80503710527655,3.7188904182795954,5.332987830545475,7.692224401698889,33.163418302341185
online_ar,4.89301152388011,-8.62237901165374,-19.632085680628954,3.9415414724312487,7.382630449719474,-12.03728124625186
ew_buy_hold,8.919752739522144,30.188641683337224,-18.39025516677409,13.775322065044431,10.714970258211274,45.20843157934099
